S0, 60.816865194897, 3346.242633280369, 3346.242633280369
S1, 236.866076970937, 3345.314677595691, 3345.314677595691
S2, 272.572778586249, 3355.119653096715, 3355.119653096715
S3, 1184.5885629703, 3400.095859309587, 3400.095859309587
S4, 1402.79108397611, 3689.996787022495, 3689.996787022495
S5, 190.755548046203, 3407.711497469666, 3407.711497469666
S6, 230.335574626891, 3398.040578123649, 3398.040578123649
S7, 402.810630929244, 3384.026950526872, 3384.026950526872
S8, 359.223689922955, 3355.237989907892, 3355.237989907892
S9, 380.864501927833, 3331.607377895205, 3331.607377895205
S10, 293.465661860949, 3305.93180484099, 3305.93180484099
S11, 353.240617835815, 3290.163823268352, 3290.163823268352
S12, 205.102717661746, 3265.483105903249, 3265.483105903249
S13, 540.124409499004, 3265.016252316255, 3265.016252316255
S14, 159.558409329838, 3220.365403552853, 3220.365403552853
S15, 187.03984382213, 3213.432690044804, 3213.432690044804
S16, 384.680768400123, 3202.089489309583, 3202.089489309583
S17, 246.515616200372, 3179.834044655122, 3179.834044655122
S18, 129.748298721979, 3161.374636929708, 3161.374636929708
S19, 196.243813167116, 3157.606537689588, 3157.606537689588
S20, 397.751053891055, 3139.154246140744, 3139.154246140744
S21, 207.682696411418, 3121.983521505429, 3121.983521505429
S22, 245.442511716659, 3112.599611010291, 3112.599611010291
S23, 373.283389660753, 3096.071034398048, 3096.071034398048
S24, 198.887308182239, 3072, 3072
S25, 189.655529332797, 3058.834082308788, 3058.834082308788
S26, 145.263839716433, 3047, 3047
S27, 196.675376330839, 3042.874049373885, 3042.874049373885
S28, 161.156373764827, 3032.421757618598, 3032.421757618598
S29, 647.691768985394, 3014.709928069599, 3014.709928069599
S30, 275.855675144259, 2973.077946114017, 2973.077946114017
S31, 168.635364700687, 2961.96331548629, 2961.96331548629
S32, 306.499355550474, 2952.382968955885, 2952.382968955885
S33, 270.181958945203, 2931.946395848302, 2931.946395848302
S34, 99.1306936554659, 2915.016734616639, 2915.016734616639
S35, 167.863217371018, 2911, 2911
S36, 135.924227638163, 2901, 2901
S37, 193.827274682542, 2893.604858350247, 2893.604858350247
S38, 478.19773626386, 2883.114068852817, 2883.114068852817
S39, 238.59172744521, 2851.221289841721, 2851.221289841721
S40, 341.542967674343, 2838.076113385891, 2838.076113385891
S41, 301.593951268203, 2818.233902562103, 2818.233902562103
S42, 869.829124014137, 2799.445152963515, 2799.445152963515
S44, 345.822670069008, 2744.531204798433, 2744.531204798433
S45, 201.815595488747, 2731.501028292456, 2731.501028292456
S46, 796.454504583862, 2724.589351044632, 2724.589351044632
S47, 65.1934254240424, 2696.585029365587, 2696.585029365587
S48, 294.03190219837, 2698.634052400232, 2698.634052400232
S49, 96.3048735810543, 2687.31323556457, 2687.31323556457
S50, 36.4351719033461, 2680.132992757628, 2680.132992757628
S51, 97.0423632572484, 2680.132992757628, 2680.132992757628
S52, 83.7543045313842, 2678.071451103204, 2678.071451103204
S53, 409.669852708899, 2681.933523946806, 2681.933523946806
S54, 161.066036591793, 2697.712254552714, 2697.712254552714
S55, 317.556404206013, 2702.526820717666, 2702.526820717666
S56, 102.796442804285, 2723.118001832333, 2723.118001832333
S57, 273.252230086693, 2728.800109812146, 2728.800109812146
S58, 147.375224304734, 2741.894491394723, 2741.894491394723
S59, 751.44342512679, 2749.897213261801, 2749.897213261801
S60, 579.969875928178, 2783.970617326264, 2783.970617326264
S61, 398.419917647842, 2772.969168389487, 2772.969168389487
S62, 127.428596822766, 2764.607017278993, 2764.607017278993
S63, 148.273090631338, 2762.264125173477, 2762.264125173477
S64, 277.258675772535, 2762.976439284619, 2762.976439284619
S65, 543.444080776818, 2759.994604375834, 2759.994604375834
S66, 231.234652507146, 2761.883216120978, 2761.883216120978
S67, 720.901377264162, 2759.623633190137, 2759.623633190137
S68, 308.697508468376, 2765.643425776442, 2765.643425776442
S69, 918.10445474856, 2770.061772208694, 2770.061772208694
S70, 246.988215520514, 2762.253969729506, 2762.253969729506
S71, 224.69423113848, 2756.959591204077, 2756.959591204077
S72, 206.651830028598, 2757.193446586526, 2757.193446586526
S73, 1060.92571087267, 2760.194827446083, 2760.194827446083
S74, 478.296283415034, 2780.629353889876, 2780.629353889876
S75, 300.183134476614, 2795.447009961102, 2795.447009961102
S76, 322.709086973034, 2807.62355795688, 2807.62355795688
S77, 181.678100175476, 2820.982136788809, 2820.982136788809
S78, 216.842469527841, 2823.523941004246, 2823.523941004246
S79, 291.006435539752, 2819.223359691216, 2819.223359691216
S80, 21.9895158097247, 2818.972876769153, 2818.972876769153
S81, 8.74910814310484, 2818.972876769153, 2818.972876769153
S82, 45.9728038618606, 2818.972876769153, 2818.972876769153
S83, 31.1092526147468, 2818.818730071838, 2818.818730071838
S84, 205.631604690509, 2818.693019326663, 2818.693019326663
S85, 56.4124502516831, 2811.374803234422, 2811.374803234422
S86, 105.785844834061, 2811.374803234422, 2811.374803234422
S87, 25.1217401719777, 2815.841729397171, 2815.841729397171
S88, 53.3556343572686, 2815.841729397171, 2815.841729397171
S89, 60.7419137275829, 2821.779381265936, 2821.779381265936
S90, 51.0834137162568, 2821.779381265936, 2821.779381265936
S91, 147.633715778931, 2826.849269357264, 2826.849269357264
S92, 59.4797441589358, 2826.339958379161, 2826.339958379161
S93, 68.3004661991988, 2830.428291165569, 2830.428291165569
S94, 85.7408710868089, 2830.428291165569, 2830.428291165569
S95, 69.1723982146788, 2831.022908840083, 2831.022908840083
S96, 166.628682252325, 2831.022908840083, 2831.022908840083
S97, 29.8834913761401, 2828.731231850346, 2828.731231850346
